"City","Title","Property_Type","Location_Detail","Bed_Info","Price_Per_Night_USD","Currency","Rating","Date_Range","Airbnb_ID","Link"
"Berlin","Private room in Tempelhof","Private Room","Privatzimmer in Tempelhofer Feld","1 bed","31","$","5","Jul 24 – 31","647664199858827562","https://www.airbnb.com/rooms/647664199858827562"
"Berlin","Private room in Mitte","Private Room","Tiny, individual Room with private Bathroom","1 small double bed","40","$","4.96","Sep 1 – 8","41220512","https://www.airbnb.com/rooms/41220512"
"Berlin","Hotel room in Prenzlauer Berg","Other","","1 double bed","108","$","4.69","May 8 – 15","30881310","https://www.airbnb.com/rooms/30881310"
"Berlin","Private room in Lichtenberg","Private Room","City East perfectly located","1 king bed","34","$","4.89","Jul 12 – 19","2591901","https://www.airbnb.com/rooms/2591901"
"Berlin","Private room in Charlottenburg-Wilmersdorf","Private Room","","1 queen bed","71","$","4.87","May 20 – 26","19075304","https://www.airbnb.com/rooms/19075304"
"Berlin","Apartment in Prenzlauer Berg","Apartment","Mini Apartment Altbau Prenzlauer Berg","1 bed","98","$","4.97","Jul 11 – 17","725973277956407623","https://www.airbnb.com/rooms/725973277956407623"
"Berlin","Private room in Kreuzberg","Private Room","","1 bed","97","$","5","May 1 – 8","634633900022976900","https://www.airbnb.com/rooms/634633900022976900"
"Berlin","Apartment in Kreuzberg","Apartment","Mini & charming apartment","1 bed","71","$","4.67","Oct 9 – 16","843504356821251289","https://www.airbnb.com/rooms/843504356821251289"
"Berlin","Private room in Mitte","Private Room","Cozy room in Yoga House","1 bed","77","$","4.64","May 1 – 7","675125533235815019","https://www.airbnb.com/rooms/675125533235815019"
"Berlin","Private room in Kreuzberg","Private Room","Staying in Schöneberg","1 bed","76","$","4.82","May 26 – 31","13798286","https://www.airbnb.com/rooms/13798286"
"Berlin","Private room in Mitte","Private Room","Minimalist room in Berlin vacations//business trip","1 single bed","81","$","4.91","Jun 23 – 28","45606656","https://www.airbnb.com/rooms/45606656"
"Berlin","Apartment in Prenzlauer Berg","Apartment","Mauerpark, studio under roof","1 bed","111","$","No rating","May 1 – 6","855537907712443459","https://www.airbnb.com/rooms/855537907712443459"
"Berlin","Private room in Neukölln","Private Room","Cozy small room in Neukölln","1 double bed","50","$","4.74","May 6 – 11","20758275","https://www.airbnb.com/rooms/20758275"
"Berlin","Private room in Charlottenburg","Private Room","","1 double bed","50","$","4.4","May 8 – 13","214518","https://www.airbnb.com/rooms/214518"
"Berlin","Apartment in Mitte","Apartment","Sexy Central Flat with View, Home Working Perfect!","2 beds","125","$","4.9","Jul 25 – 31","642955","https://www.airbnb.com/rooms/642955"
"Berlin","Private room in Kreuzberg","Private Room","Room in city center amazing view","1 queen bed","101","$","4.81","May 7 – 12","3608625","https://www.airbnb.com/rooms/3608625"
"Berlin","Apartment in Pankow","Apartment","Unique and colorful flat (LGBTIQ* welcoming)","2 beds","81","$","4.85","Jun 24 – Jul 1","21129356","https://www.airbnb.com/rooms/21129356"
"Berlin","Condo in Charlottenburg","Other","Attractive Flat near Charlottenburg & City Center","1 double bed","112","$","4.47","Aug 24 – 30","51148046","https://www.airbnb.com/rooms/51148046"
"Berlin","Private room in Berlin","Private Room","Cosy room in Mitte / Rosenthaler Platz","1 double bed","68","$","4.9","Oct 26 – 31","229776","https://www.airbnb.com/rooms/229776"
"Berlin","Private room in Berlin","Private Room","Super cozy room at a great location","1 bed","65","$","4.88","Dec 1 – 8","680250759870842312","https://www.airbnb.com/rooms/680250759870842312"
"Berlin","Private room in Berlin","Private Room","Guest room in bright maisonette","1 sofa bed","62","$","4.95","Sep 4 – 9","12537486","https://www.airbnb.com/rooms/12537486"
"Berlin","Apartment in Berlin","Apartment","Highly equipped apartment in the middle of the neighborhood","1 bed","125","$","4.75","Aug 23 – 30","636510987314978562","https://www.airbnb.com/rooms/636510987314978562"
